" "	"Akt"	"Alk1"	"Alk5"	"ATF2"	"ATF4"	"B-catenin"	"BMP"	"CCND1"	"Col-II"	"Col-X"	"d-EF1"	"Destruction complex"	"DKK1"	"Dlx5"	"Dsh"	"Elk1"	"ERK1/2"	"FGF"	"Fgfr1"	"Fgfr3"	"FOXO"	"Frizzled-LRP5/6"	"FRZB"	"Gli2"	"Grem1"	"GSK3beta"	"HDAC4"	"Hif-2a"	"IGF-IR"	"IGFI"	"Ihh"	"IkBa"	"Infl. cytokines"	"JNK"	"Lef/tcf"	"Mef2C"	"MMP13"	"Msx2"	"NFkB"	"Nkx3.2"	"p38"	"PI3K"	"PKA"	"PP2A"	"PPR"	"Proteoglycans"	"PTHrP"	"R-Smad"	"R_inflam"	"Ras"	"Runx2"	"Smad Complex"	"Smad3"	"Smad7"	"SOCS"	"Sox9"	"Stat1"	"TAK1"	"TGF-beta"	"Wnt"
"Akt"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] decrease in Runx2 activity could be the reason for decrease in the level of Akt protein during treatment  of chondrocytic cells with Dexamethasone. Not direct evidence but it Runx2  also known to upregulate Pi3k a direct AKT collaborating protein"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "
"Alk1"	"[0] "	"[0] "	"[0] "	"[1] Mathematically inferred interaction based on microarray data and presence of promoter binding domain for ATF2/c-JUN on ALK1 supported by Gene Card database (https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACVRL1&keywords=ALK1) "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] Effect of ATF2 in the model is sytsematically implemented in conjonction with JNK signalling pathway (multipicative term). Indeed,  ATF2 is a downstream effector mediatiung JNK sigbaling pathway. Moroever trnascriptional binding domain of c-JUN confirmed by Gene Card database (GH12J052180, https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACVRL1&keywords=ALK1)"	"[1] Lef1 binding site was found in the ALK1 promoter (GeneCard https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACVRL1&keywords=ALK1)"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] Alk1 are overexpressed in hypertrophic chondrocytes and OA/ Runx2 being a master controller of the hypertrophic programme, a positive regulatory interaction was hypothesized. The existence of binding domains for the RUNX familly of transcription factors in the ALK1 promoter region was suported by GeneCard database (https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACVRL1&keywords=ALK1 )"	"[0] "	"[-1] Binding of active TGFβ to activin receptor-like kinase 5 (ALK5) stimulates the expression of latent TGFβ1 and ALK5 while downregulating the expression of ALK1. "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "
"Alk5"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[-1] IL-1β has been shown to downregulate TGFβ type II receptor expression and inhibit TGFβ1-induced gene expression and SMAD2–SMAD3 phosphorylation. In the model type II receptors are not represented. The node ALK5 represents the effective heterodimer of type II receptors and the ALK5  type I receptor NfKB is the downstream transcriptional effector of pro-inflammatory cytokines and it was elsewhere shown to mediate IL-1B induced modulation of TGFB pathway (through up-regulation of Smad7)"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] "	"[0] "	"[0] "	"[1] "	"[0] "	"[0] "	"[0] "	"[0] "
"ATF2"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "
"ATF4"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "
"B-catenin"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "
"BMP"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] Hh signalling would promote BMP gene expression. For instance, Ihh leads to a reduction of BMP2/4"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] NF-kappaB subunits (p50 and p65) bind to the NF-kappaB response elements of the BMP-2 gene and increase BMP-2 expression"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "
"CCND1"	"[0] "	"[0] "	"[0] "	"[1] TGFb induced ATF2/Creb2 activates Cyclin D1 expression"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] FOXO, in synergy with the TGF-beta pathway (here represented by Smad3) promotes the expression of p21 and cyclin dependant kinase inhibitor.  FOXO would promote Cyclin D expression (FOXO KEGG pathway)"	"[0] "	"[0] "	"[1] CyclinD1 is a target of Gli2 transcription factors. Gli2 promote CCND1 expression in chondrocyte Upregulation of Cyclin D expression by Hh signalling mediates the distinct ability of Hh to promote cellular growth in various systems. (not chondrocyte specific)"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] Significant and time-dependent upregulations of the expression of cyclin D1 mRNA and CDK4 protein were observed by the treatment with PTHrP, which prevents chondrocyte hypertrophy. PTHrP signalling transduces to the nucleus via PKA/CREB. In the model it is modelled via a direct link between PKA and the target genes (CCND1 in that case)"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] Together with ATF2, Smad3 actiavte TGF-beta regulated genes, including CCND1"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "
"Col-II"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[-1] Mathematically inferred interaction based on microarray data"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] Inflammatory signals reduce Col2a1 expression, notably by blocking FOXO activty"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[-1] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] Nkx3.2 promote chondrogenisis notably by inducing Col-II expression and GAG"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] Sox9 promotes expression of Collagen-II in chondrocyte, a major ECM protein whose presence is important for healthy articular cartilage maintenance"	"[0] "	"[0] "	"[0] "	"[0] "
"Col-X"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] Mathematically inferred interaction based on microarray data"	"[0] Type-X collagen expression is increase by BMP in chondrocytes"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] Collagen10 is a downtream target of Hif2-alpha. Hif2a promotes Col-X gene expression."	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] MEF2C activity is required for normal Col-X promotor activity"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[-1] There is a PTH/PTHrP-responsive region in the human COL10A1 enhancer PTHrP signalling transduces to the nucleus via PKA/CREB. In the model it is modelled via a direct link between PKA and the target genes, even though PKA is not a transcription factor per say. "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] Collagen-X expression is increased by BMP signalling (transduced via R-smad here)"	"[0] "	"[0] "	"[1] Runx2 induces Collagen10 expression in chondrocyte and contributes to its hypertrophic chondrocyte-specific expression "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "
"d-EF1"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] p65 (NfkB fragment) increased ZEB-1 promoter activity. And Zeb1 is induced by TNF-a (an inducer of NfkB). (Reference not chondrocyte-specific but if binding site of NfkB present in Zeb1--promoter, it is likely to be also present in chondrocyte were Nfkb also happend to be expressed))"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] Mathematically inferred interaction based on microarray data"	"[0] "	"[0] "	"[0] "	"[-1] Decrease of delta-EF1 expression by BMP siganlling (but not shown in chondrocyte: breast cancer)"	"[1] TGF-beta would induce the expression of Ets1, which in turn activates deltaEF1 promoter activity. (not chondrocyte specific reference). This is summarized by activation of d-EF1 expression by Smad3, which is a downstream nuclear effector of TGFbeta"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "
"Destruction complex"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "
"DKK1"	"[0] "	"[0] "	"[0] "	"[-1] TGF-b regulate Wnt signalling in chondrocytes by downregulating the Wtn antagonist DKK1, in a p38 dependant way. The downstream nuclear effector of the TGF-b/p38 pathway in the model"	"[0] "	"[-1] There is a Wnt signalling feeback loop, Wnt signalling decreases transcriptional expression of Wnt antagonists Frzb and DKK1 and of BMP antagonist, Grem1"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[-1] Single and repeated treatments with Il-1B reduced mRNA levels of DKK1 in adult articular chondrocytes. Nfkb being the main transcriptional tranducer of the IL-1b pro inflammatory cytokines, this hypothetic regulatory link between Nfkb and Dkk1was added in the model"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] Stronger BMP signaling results in the upregulation of WNT antagonists, establishing a negative feedback mitigating WNT signaling"	"[0] "	"[0] "	"[0] "	"[1] DKK1 transcript level negatively correlates with OA. DKK1 is expressed in non hypetrophic chondrocyte (expressing Sox9). This regulatory link enable Sox9+ chondrocyte to express DKK1 in the model. This is a calibration choice but not direct supporting evidence/"	"[0] "	"[0] "	"[0] "	"[0] "
"Dlx5"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] MEF2C is required for normal Dlx5 expression (reference for cranofacial developement) "	"[0] "	"[0] Msx2 and Dlx5 might influence each other transcriptional level by supression of their respective expression. In the model they are involved in a negative feedback loop both at the protein and transcriptional level"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] BMP signalling induces Dlx5 gene expression, Smad Complex is the downstream effector of BMP pathway in the model. BMP2 induction of Runx2 expression passes is mediated by Dlx5 upregulation. Overexpression of Smad1 or Smad5  stimulate Dlx5 transcription"	"[-1] TGF-B1 signalling suppresses Dlx5 expression, it is modeled by inhibtion of Dlx5 expression by Smad3, the downtream transcription fator of TGF-B1 pathway"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "
"Dsh"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "
"Elk1"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "
"ERK1/2"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] Mathematically inferred interaction based on microarray data"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "
"FGF"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] Wnt signalling is requited to induces FGF (at least FGF-8, FGF-10) in mouse growth plate"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] RUNX2 controls FGF18 expression in the perichondrium and thus FGFR3 activation and chondrocyte proliferation in the growth plate. Does Runx2 also promotes fgf18 in (AC) chodnrocyte "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "
"Fgfr1"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] Fgfr1 is upregulated in (pre)hypertorphic chondrocytes, Fgfr3 is expressed in proliferative chondrocyte and disappears in later stage of chodrocyte maturation. Fgfr1 was reported to be upregulated in OA chondrocyte. To translate this in the model, fgfr1 expression is activated by Runx2 a major regulator gene activator in hypertophy"	"[-1] BMP signalling inhibits FGF signalling by inhibiting Fgfr1 expression in growth plate chondrocytes"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "
