"Component","Description","references:Description","RegulatorySummary","references:RegulatorySummary","References","title:Description","title:UpstreamRegulator","UpstreamRegulator","references:UpstreamRegulator"
"AKT","Homozygous Akt1‐deficient (Akt1−/−) mice and Akt2−/− mice show similar phenotypes, including bone growth retardation","20187155","Inhibition of Akt is caused by an increase in protein phosphatase 2A (PP2A)-mediated dephosphorylation (reference not chondrocyte specific)","20182580, 10995457, 15367694","",,,,
"","Phosphoinositide‐dependent serine/threonine protein kinase Akt, also called protein kinase B (PKB)","","Pi3K activates Akt by phosphorylation in chondrocytes. This constitutes the canonical PI3K/Akt pathway","25659655","",,,,
"","Akt1 MGI:87986 NCBI Gene: 11651. Akt1 is the dominant form (among Akt1, Akt2 and Akt3) in skeletal development & in chondrocyte","20187155","","25659655","",,,,
"","The Pi3K/Akt axis integrates signals from pro-catabolic and pro-anabolic stimuli and regulates seemingly opposite functions","25659655","","25659655","",,,,
"ALK1","Activin A receptor, type II-like 1 (Acvrl1) (TβRII) MGI:1338946, NCBI Gene: 11482","","BMPs bind to ALK1 receptors, which subsequently trnasduces signal through the R-smads: ""BMPs transduce signals through complexes of type I and type II serine/threonine kinase receptors. Upon BMP binding, type II receptors phosphorylate serine/threonine residues in type I receptors. Activated type I receptors phosphorylate, and thereby activate, receptor-regulated SMAD (R-SMAD)1, R-SMAD5 and R-SMAD8. Subsequently, these R-SMADs recruit and bind SMAD4. These SMAD complexes enter the nucleus and regulate transcription of target genes""","17065231, 14656483, 31450621","","ALK1",,,
"","Receptors of the TGF super familly, they normally function in dimers and may be activated both by TGF-beta of BMPs","","","17065231, 14656483, 31450621","","",,,
"","Upon ligand binding, they tranduces signal via phosphorylation of downstream proteins, such as, Smads. They would promote rather pro-catabolic pathways and an increase of ALK1 amount and expression was obserged in ageing population and OA.","24928920, 21638205, 28148919, 31450621","","17065231, 14656483, 31450621","","",,,
"ALK5","ALK5 or transforming growth factor, beta receptor I (TβRI). Tgfbr1 MGI:98728, NCBI Gene: 21812","",,,"","ALK5",,,
"","Transduces pro-anabolic signals upon TGFbeta ligands binding, and shows opposite effect with ALK1","18333754, 31450621",,,"","",,,
"","The ration ALK5/ALK1 decreases with ageing and osteoarthritis(OA). ALK5 downstream signalling would have a protective role against OA.","21638205, 24928920, 17391995, 27563484, 28148919",,,"","",,,
"","Loss of ALK5 induces osteoarthritis in mouse","28716756",,,"","",,,
"","The node ALK5 represents the effective heterodimer of type II receptors and the ALK5 type I receptor","28148919",,,"","",,,
"ATF2","Activating transcription factor 2 (Atf2 or Creb2): MGI:109349 , NCBI gene:11909","","p38 and Smad3 are different actors TFG-β signal transduction pathways which act synergistically to amplify TGF-β signal. Together they promote ATF2 transcriptional activity. Smad3 would form an heterocomplex with p38, which would prevent p38 from dephosphorylation and inhibition, hence promoting even more ATF2 transcriptional activation","10085140, 20506210","",,,,
"","ATF2 also called CRE-BP1, CREB2, is a cAMP response element (CRE). It has a transcriptional activity and acts downstream of the TGF-β pathway","10085140","Smad3 and ATF2 cooperate to transduce TGFB effect on chondrocyte maturation","12878171","",,,,
"","ATF-2 activation inhibits chondrocyte hypertrophy in mouse articular cartilage","20506210","ATF2 acts as a TF downstream of the MAPK/p38 pathway in articular cartilage","18698181","",,,,
"","ATF2 activation, downstream of the p38 and JNK kinase, may be involved in both pro-catabolic and pro-anabolic processes, the exact mechanisms are yet to be discovered.","20506210, 18698181, 33188182","ATF2 is aslo activated by the JNK kinase and activated downstream of inflammation pathway, those JNK/ATF2 specific effects are directly implemented at transcriptional level (see GRN)","7824938, 33188182, 18698181","",,,,
"ATF4","Activating transcription factor 4 (Atf4). Also known as AP-1 or CREB, MGI:88096, NCBI gene: 11911","","ATF4 function is regulated by phosphorylation. PKA regulates ATF4 by phosphorylation in osteoblast","17141628, 24418675","",,"ERK1/2","This interaction is to account for the capacity of BMP2 to activate ATF4 through the MAPK cascade",""
"","ATF4 is a leucine-zipper-containing protein of the cAMP response element-binding protein (CREB) family. Ablation of Atf4 (Atf4−/−) in mice leads to severe skeletal defects, including delayed ossification and low bone mass, short stature and short limbs. Atf4 is expressed in proliferative and prehypertrophic growth plate and articular chondrocytes","19906842","BMP2 induces ATF4 phosphorylation with downstream signaling involving Ras-ERK1/2-RSK2 activation.","24418675","",,"","",""
"B-catenin","Chondrocyte-specific B-catenin deletion results in decreased proliferation and delayed hypertrophic differentiation","19557172, 20097766","When the Wnt pathway in Off, Beta-catenin is caught by a destruction complex formed by GSK3B Axin, APC and other factors (summarized as 'DC' in the model). THis DC promote the promoting the phosphorylation and ubiquitination of B-catenin, ecentually leading to its degradation","22550232, 17659995, 17143292","",,,,
"","Beta-catenin is an intracellular transducer of canonical Wnt pathway.","","In presence of Wnt, the diassembly of DC complex reduces β-catenin phosphorylation, which stabilises it","22520685","",,,,
"","β-catenin was upregulated in articular cartilage during osteoarthritis.","18767925, 22172041","","22520685","",,,,
"","Ctnnb1. MGI:88276, NCBI gene:12387","","","22520685","",,,,
"BMP","In growth plate BMP2 and 6 are not expressed in proliferative chondrocytes and the level rises till hypetrophy.","17400805","Grem1 is an antognist of BMP, it inhibits it by binding, which subsequently brakes hypertrophic differentiation in articular cartilage","27769098, 22576962","",,,,
"","Overexpression of BMP2 was found in osteoarthritic tissues","25401122, 20211748, 12681954","""BMPs transduce signals through complexes of type I and type II serine/threonine kinase receptors. Upon BMP binding, type II receptors phosphorylate serine/threonine residues in type I receptors. Activated type I receptors phosphorylate, and thereby activate, receptor-regulated SMAD (R-SMAD)1, R-SMAD5 and R-SMAD8. Subsequently, these R-SMADs recruit and bind SMAD4. These SMAD complexes enter the nucleus and regulate transcription of target genes""","17065231, 14656483, 31450621","",,,,
"","The downstream effect of BMP ligands depends on the receptors they bind to. The model only includes a subset of potential downstream effects (noth canonical and non canonical)","31450621","","17065231, 14656483, 31450621","",,,,
"","Bone Morphogenic proteins are important factors regulating chondrogenesis and skeletogenesis during normal embryonic development","","","17065231, 14656483, 31450621","",,,,
"","e.g. Bmp2, MGI:88177; NCBI gene: 12156","","","17065231, 14656483, 31450621","",,,,
"","BMP signalling play a important role in articular cartilage","20211748","","17065231, 14656483, 31450621","",,,,
"CCND1","cyclin D1 (Ccnd1) MGI:88313, NCBI gene: 12443","","ATF-2 regulates chondrocyte proliferation through the modulation of cyclins at gene expression level","9990041","",,"GSK3beta","Single phosphorylation of CCND1 positively regulates its proteosomal degradation and GSK3-beta is able to induce this phosphorylation",""
"","Cyclin D1. Cyclin dependent kinase (CDK) are proteins promoting cell cylce. Progression through the G1 phase and the G1/S transition check point is achieved by the activity of CDKs and negatively regulated by CDK inhibitors (e.g. p21 in cartilage)","9832503","GSK3-beta directly binds to Cyclin D1","25241761","",,"STAT1","STAT1 transcription factor is activated via phosphorylation by FGFR3, it subsequently activates the cell cyle inhibitor p21 (thus limiting chondrocyte proliferation) p21 inhibits CCND1/CDK complex","16215986, 10364154"
"","","9832503","Single phosphorylation of CCND1 positively regulates its proteosomal degradation and GSK3-beta is able to induce this phosphorylation","9832503","",,"","","16215986, 10364154"
"COL-II","Type II collagen (col2a1): MGI:88452, NCBI gene:12824","","Col-II protein is an end-node of the model, it is mainly regulated at the trancriptional level as it is a structure protein.","","",,"MMP13","MMPs are collagenase that contribute to type II collagen degradation during osteoarthritis","16146751, 30853397"
"","Type II collagen is one of the major component of extracellular matrix (ECM) surrounding proliferative or stable chondrocytes, it amount to 15–22% of the ECM by wet weight","29800616","","","",,"","","16146751, 30853397"
"","The so called ""Type II"" collagen in cartilage is really a type II, IX and XI combo of fibers","18442706","","","",,"","","16146751, 30853397"
"","Collagen is present in the shape of fibers in the pericellular and extracellular cartilage matrix. One of the hallmark of osteoarthritis is the replacement of type II collagen by other types, sucha as type X collagen secreted by hypertophic chondrocytes.","","","","",,"","","16146751, 30853397"
"COL-X","Type X collagen (col10a1): MGI:88445, NCBI gene: 12813","","Col-X protein is an end-node of the model, it is only regulated at the trancriptional level (see GRN). It is a structure protein, it does not have any activity in the protein signalling network.","","",,,,
"","Type collagen is one of the main component of extracellular matrix typically secreted by hypertrophic chondrocytes, contributing to cartilage mineralization during osteoarthritis","30853397, 15667640","","","",,,,
"d-EF1","[delta]-EF1 or Zeb1. MGI:1344313, NCBI gene:: 21417","","This transcription factor is regulated at the transcriptional level. It is only involved in the gene regulatory network (see GRN)","","",,,,
"","This gene encodes a zinc finger transcription factor. It can act as positive or negative transcriptional regulator","","","","",,,,
"","Zeb1 is expressed in cartiage and is increased in osteoarthritic patients, it may be contribute to chondrocyte hypertophy and OA.","31860959","","","",,,,
"","d-EF1 (or Zeb1) play a central role in the decrease of collagen II and cartilage matrix production","12133909","","","",,,,
"Destruction complex","When the destruction complex is active, B-cat is degraded and Wnt downstream targets are not expressed","21911068, 17143292","Activation of Dsh lead to the dissaembly of the DC.","22520685, 17659995","",,,,
"","The destruction complex (DC) is a complex of which GSK3beta in an important component (MGI:1861437), other molecules are also involved (Axin, APC, PP2A...)","23169527","ERK dependant phosphorylation of GSK3B (included in DC) tigger other phosphorylations which lead to GSK3B inactivation and upregulation of B-catenin levels. This was not shown in chondrocytes but it is canonical","16039586","",,,,
"","When the wnt pathway is off, the transcriptional coactivator β-catenin is degraded by a multiprotein ""destruction complex"" that includes the tumor suppressors Axin and adenomatous polyposis coli (APC), the Ser/Thr kinases GSK-3 and CK1, protein phosphatase 2A (PP2A), and the E3-ubiquitin ligase β-TrCP.","12615961, 23169527, 17143292","PP2A plays a role in the formation of the destruction complex. It is therefore involved in degradation of Beta-catenin via the DC. (canonical)","23169527","",,,,
"DKK1","dickkopf 1 homolog (Dkk1). MGI:1329040, NCBI gene: 13380","",,,"",,,,
"","DKK1 mRNA level negatively correlates with osteoarthritis and is regulated by osteoarthritis-associated factors. Dkk1 is a natural brake on hypertrophic differentiation in articular cartilage","24286177",,,"",,,,
"","dickkopf 1 homolog (DKK1) is a Wnt antagonist","22576962",,,"",,,,
"","Antagonizes canonical Wnt signaling by inhibiting LRP5/6 interaction with Wnt and by forming a ternary complex with the transmembrane protein KREMEN that promotes internalization of LRP5/6","",,,"",,,,
"DLX5","Dlx5 is expressed in (pre)hypertrophic chondrocyte and has a transcription activity promoting hypertrophy. Notably it would directly bind and activate Runx2 promotor.","19956613, 18546336, 12895028, 16901655, 12482714","Dlx5 would be indispensable for BMP2-induced Runx2 expression, its transcriptional activity is promoted by BMP2 signalling (SmadComplex) but not TGFbeta (Smad2/3)","12815054, 16901655, 22253449","",,,,
"","Homeobox transcription factor similar to Drosophila distal-less, important role in bone development and healing. NB: Homeobox proteins are transcription factors that direct proper development by regulating specific temporal and spatial patterns of gene expression.","","p38: Dlx5 would mediate BMP2-induced expression of osteocytes target genes. Moreover, Dlx5 would be substrate of p38 MAPK. Phosphorylation by p38 increases the transactivation potential of Dlx5 (NB: In vitro phosphorylation assay, C2C12 (mouse premyoblasts) and HEK-293 (Human embryonic kidney cells))","18056716","",,,,
"","distal-less homeobox 5: MGI:101926, NCBI gene:13395","","Msx2 and Dlx5 form an heterodimer, they binds via their respective DNA binding sites and antagonise each other's transcriptional activity","9111364, 15456894, 16314053, 22253449","",,,,
"","","","p38 MAPK phosphorylates DLX5 and therefore increases its transcriptional activity by promoting its association with the transcriptional co-activator p300. This was shown particularly for C2C12 cells.","18056716","",,,,
"DSH","The Wnt signal signals through its receptor to activate Dishevelled (Dvl1)","22550232","When Wnt binds to its receptors, they become phosphorylated, which subsequently activates Dsh","22520685","",,,,
"","MGI:98297, NCBI gene: 20423","","Dvl1 and Smad1 were proved to direclty bind, forming a complex. Recruitment in this complex prevents Dsh to play its role in Wnt induced beta-catenin accumulation. In presence of Wnt the complex is disrupted but BMP activation would promote the formation of this complex. (NB: data relative to osteoblast progenitors but the general competition and balance between Wnt and BMP pathways is also reported in chondrocytes)","6621789, 31420042","",,,,
"ELK-1","Ets Familly (Elk1) NCBI Gene: 13712 / (Ets1) MGI:95455, NCBI gene: 23871","","Ets1 and Elk1 are among the transcription factor regulated by phosphorylation downstream of RAS/ERK and JNK MAPK pathways in various cell types. These pathways activates the TF activity by phosphorylation","20356956, 17126425, 15714552, 10708950","",,"","ERK1/2 promotes matrix degradation in OA via activation of Elk-1 or Ets1 transcription factor","18698181, 10708950"
"","Ets1, the founding member of the Ets transcription factor family is involved in several developmental processes. It also controls expression of cytokine and chemokine genes (Uniprot).","7689222, 18698181","In articular cartilage, FGF1 activates MAPK/ERK1/2 as well as PKC pathways and they coordinately activate Ets1 transcription factor. In this way, Ets1 mediate FGF1-induced upregulation of Runx2 and catabolic proteins such as MMP13 and ADAMTS5","22488450, 23060229, 29691281","",,"","","18698181, 10708950"
"","For instance Elk-1 (NCBI Gene: 13712) is part of the Ets familly of transcription factors and transduces signals downtsream of MAPK to the nucleus. We consider Ets1 and Elk1 redundant in this model","18698181","","22488450, 23060229, 29691281","",,"","","18698181, 10708950"
"","They are transcription factors acting downstream of MAPK signalling. In particular they are activated by ERK1/2","","","22488450, 23060229, 29691281","",,"","","18698181, 10708950"
"ERK1/2","mitogen-activated protein kinase or extracellular signal-regulated kinase1&2. ERK1 (Mapk3) MGI:1346859, NCBI gene: 26417 / ERK2 (Mapk1): MGI:1346858, NCBI gene: 26413","","ERK1/2 is located at the end of the Ras-Raf-MEK1-ERK MAP kinase cascade. The indirect relationship between Ras and ERK is translated with a direct activation of ERK1/2 by Ras in the model.","11057896, 14597193","",,,,
"","It is a signaling kinase protein transducing signals in the MAPK signalling pathways. It stands at the end of the cascade to phosphorylate and thereby activate various transcription factors.","14597193, 18698181, 11057896","PTHR signaling can also regulate the mitogen-activated protein kinase (MAPK) ( ERK1/2) signaling cascade","22709554, 16492667, 17107942","",,,,
"","""ERK function in cartilage is to stimulate not cell proliferation, but rather chondrocyte maturation""","17967876","TAK1 promotes p38/JNK/ERK phosphorylation in various cells types, including cartilage","20213696, 19536134","",,,,
"","extracellular signal-regulated kinase. ERK1/2 = MAPK3/1","","","20213696, 19536134","",,,,
"FGF","Fribroblast Growth factor ligands e.g. fgf18 (shown to bind fgfr3 and promote chondrogenisis). MGI:1277980 , NCBI gene:14172","",,,"",,,,
"","FGFs 2, 9 and in particular FGF18 together with the receptors FGFR1 and 3 are implicated in growth plate development.","26220993, 17169623, 15863035, 25772309",,,"",,,,
"","Via receptor activation, FGF ligands signal through various transduction pathways such as Ras/Raf/MEK/MAPK, PI3k/Akt, STAT1,","20067622",,,"",,,,
"","FGF2 was identified as a degenerative mediator (promote catabolism) in Osteoarthritis, although its exact role is controversial","21835001, 21996043",,,"",,,,
"","Fribroblast Growth factor signalling is essential for skeletal development as was first put in evidence with FGFR mutation associated bone morphongenic disorder such as achondroplasia (dwarfism)","28298517",,,"",,,,
"","Different FGF ligands have been shown to preferientially bind to different receptors and activate differential responses. For sake of simplification, only a global FGF node was introduce in the current model, however, making the dinstinction between FGF2 and FGF18 ligands, for example, might be important and subject to future imrpovments.","11937493, 23060229",,,"",,,,
"","The pro-anabolic or pro-catabolic nature of FGF ligands depends on the receptors mediating the signal, blocking on type of receptor has emerged as potential therapeutic strategy to tip the role of FGF signaling during OA","33285208",,,"",,,,
"","Using recombinant FGF18 migh be good therapeutic strategy against osteoarthritis as was demonstrated by several clinical trials","24740822",,,"",,,,
"FGFR1","fgfr1 (FGF receptor 1) MGI:95522 , NCBI gene:14182","","FGF ligands bind to the transmembranar receptors and activate them leading to intracellular signalling cascades involving kinases phosphorylations","27052727, 12080084","",,,,
"","FGFR1 is expressed in hypetrophic chondrocytes and tabecular bone","15863035, 26220993","Binding of endocrine FGF to FGFR induces the formation of FGF-FGFR complex, which leads to activation of the FGFR tyrosine kinase","25772309","",,,,
"","FGFR3 and FGFR1 are the major FGF receptor isoforms expressed in human articular cartilage and the modification of a balance between the two might contribute to OA","21835001, 22833219","","25772309","",,,,
"","FGFR1 inhibitor protects against cartilage degradation in a murine model of osteoarthritis","27041213, 22833219, 30201491","","25772309","",,,,
"","Fgfr1 promotes osteoarthitis in articular cartilage. Loss of Fgfr1 reduces hypertophic differentiation","29691281","","25772309","",,,,
"","FGF2 pro-anabolic effect on cartilage would be transduced by FGFR1","33285208","","25772309","",,,,
"FGFR3","MGI:95524, NCBI gene:14184","","FGF binds to FGFR3 transmembranar receptor and activate it","","",,,,
"","Fgfr3 is expressed in proliferating and prehypertrophic chondrocytes and functions to inhibit postnatal chondrogenesis","27052727, 15863035","","25772309","",,,,
"","","21835001, 22833219","","25772309","",,,,
"","Removal of FGFR3 leads to overgrowth . activating mutations in FGFR3 account for several dysplasias such as achondrodysplasia (dawrfism)","8630492, 18698630, 25558817","","25772309","",,,,
"","FGFR‐3 signaling may have a chondroprotective role during the development of OA and FGFR3 expression is downregulated in articular cartilage from OA patients","21835001, 16624844, 27159076","","25772309","",,,,
"","Deletion of Fgfr3 in chondrorcytes leads to osteoarthritis","27041063","","25772309","",,,,
"FOXO","Forkhead Box O. E.g. Foxo1 MGI:1890077, NCBI Gene: 56458","",,,"","FOXO","","KEGG pathway",""
"","""In OA chondrocytes, overexpression of FoxO1 reduced inflammatory mediators and cartilage-degrading enzymes, increased protective genes, and antagonized interleukin-1β effects""","29444976",,,"","","JNK","",""
"","FOXO synergize with the TGF-beta pathway to regulate to downstream targets","29444976",,,"","","","JNK phosphorylate FOXO in a location different from the Akt phosphorylation sites, resulting in increased nuclear localization and activation of transcriptional activity","24269635"
"","Deletion of Foxo showed that it is involved in expression of Col2a1 and Acan in cartilage","31601652",,,"","","AKT","AKT phosphorylates of the FOXO1 transcription factor causing it to exit the nucleus","25772309, 24269635, 17604717"
"","FOXO is involved in the regulation of several ECM component and the deletion of Foxo resulted in spontenous degradation of articular cartilage.","29444976",,,"","","","",""
"Frizzled-LRP5/6","The Wnt pathway is activated by binding of WNT to Frizzled family receptors","","Activated by Wnt binding","21536751, 17659995","",,,,
"","Frizzled-LRP5/6 represents the (frizzled)/co-receptor (lipoprotein receptor-related protein-LRP-5/6) complex","","Wnt pathway is inhibited by its antagonist DKK1 with receptor binding competition (Frizzled-LRP5/6 transduces Wnt pathway)","22576962","",,,,
"","LRP5: MGI:1278315 NCBI Gene: 16973. / LRP6: MGI:1298218 NCBI Gene: 16974.","","In the ON state, a Wnt ligand binds to the seven-pass transmembrane receptor Frizzled (FZD) and the single-pass low-density lipoprotein receptor-related protein 5 or 6 (LRP5/6)","","",,,,
"","seven-pass transmembrane receptor Frizzled (FZD)","","","","",,,,
"","single-pass low-density lipoprotein receptor-related protein 5 or 6 (LRP5/6","","","","",,,,
